Model,Category,ROC-AUC,Average Precision,Accuracy
efficientnet_v2_s,metal_nut,0.9898989898989898,0.9952678086344005,0.9552238805970149
resnet34,metal_nut,0.9181818181818182,0.9651474881789655,0.835820895522388
mobilenet_v3_small,metal_nut,0.9656565656565657,0.9864991015011038,0.9402985074626865
